genotypes,s0,s1,s2,s3,s4,s5,s6,s7,s8
1|1|0,0.7244734044031955,0.07380851890192852,0.8612493377467274,0.7973060877077234,0.2767900365712533,0.6456380361959029,0.7920725928845599,0.41975366030232164,0.6826435595585437
1|1|1,0.04497924060387121,0.2883394538630091,0.009923903483232244,0.015173072863563229,0.25547644184486296,0.10177627165675827,-0.0251990064607705,0.20171923620360388,0.038174892340880784
2|1|0,0.0,0.0743368424206201,0.0,0.0,0.0448840172314937,0.03,0.0,0.0650341451834631,0.0
2|2|2,0.0,0.5635151848144422,0.0,0.0,0.42284950435239,0.1761818333380018,0.0,0.0,0.0
3|2|2,0.2305473549929333,0.0,0.1288267587700404,0.1875208394287133,0.0,0.046403858809337,0.2331264135762107,0.3134929583106113,0.2791815481005755
